#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
198,"Tribe
TRIBE","$0,289411",-0.3%,2.4%,2.0%,0.6%,"$72 748,23",455 015 531,1 milliard,$131 886 493
199,"Open Campus
EDU","$0,792245",0.4%,0.6%,-20.0%,-29.5%,$32 157 176,166 197 917,1 milliard,$131 802 403
200,"BORA
BORA","$0,132482",0.0%,1.3%,-8.6%,-14.6%,$856 545,993 750 000,"1,21 milliard",$131 662 492
201,"Band Protocol
BAND","$1,03",-0.2%,-0.8%,-21.4%,-27.7%,$7 785 867,126 540 864,135 million,$130 261 893
202,"Flux
FLUX","$0,426234",-0.0%,3.7%,-11.5%,-13.6%,$6 769 618,297 668 993,440 million,$126 911 883
203,"aelf
ELF","$0,272171",-0.1%,0.7%,-6.8%,-3.4%,$3 274 391,461 329 999,880 million,$125 554 924
204,"Blox
CDT","$0,184813",-12.6%,-14.3%,-8.6%,-26.1%,$127 106,674 579 184,1 milliard,$124 670 770
205,"Wrapped Beacon ETH
WBETH","$1 752,02",-0.4%,-0.2%,-3.5%,-2.9%,$493 659,70 938,"70,9 millier",$124 334 299
206,"Biconomy
BICO","$0,222224",0.1%,2.9%,-13.6%,-28.5%,$1 126 806,556 461 300,1 milliard,$123 705 499
207,"Bitkub Coin
KUB","$1,39",0.5%,1.7%,-7.0%,-10.6%,$276 279,88 850 000,110 million,$123 102 101
208,"LUKSO
LYXE","$7,86",-0.0%,-0.3%,-17.7%,-41.9%,$1 457 848,15 575 916,100 million,$122 428 010
209,"Aragon
ANT","$3,05",0.6%,-2.8%,-9.7%,-1.0%,$7 006 785,40 030 795,"43,2 million",$122 164 706
210,"Gains Network
GNS","$3,92",0.3%,-0.5%,-10.1%,-20.4%,$3 958 648,30 433 317,"30,4 million",$119 442 833
211,"SSV Network
SSV","$16,83",-0.2%,0.5%,-17.1%,-17.8%,$9 194 341,7 085 673,"11,1 million",$119 268 076
212,"Astrafer
ASTRAFER","$0,752600",-0.1%,-2.1%,-17.1%,-28.0%,"$90 508,04",156 553 961,888 million,$117 796 699
213,"Energy Web
EWT","$2,52",0.5%,-2.8%,-7.1%,4.5%,$1 544 698,46 775 719,69 million,$117 718 523
214,"SKALE
SKL","$0,025807477182",-0.4%,2.5%,-15.5%,-18.5%,$5 996 888,4 535 019 337,"5,06 milliard",$117 076 713
215,"BiLira
TRYB","$0,041831039540",-0.7%,0.3%,-8.3%,-8.1%,"$4 336,51",2 793 132 391,"2,79 milliard",$116 870 961
216,"Ribbon Finance
RBN","$0,158788",0.1%,2.2%,-2.6%,7.3%,$284 970,719 603 851,1 milliard,$114 333 601
217,"TerraClassicUSD
USTC","$0,011667775964",-0.2%,8.7%,-7.4%,-23.0%,$7 758 440,9 795 030 956,"9,8 milliard",$114 265 943
218,"Axelar
AXL","$0,390213",-0.3%,0.8%,-8.3%,-28.0%,$16 747 157,290 764 377,"1,07 milliard",$113 474 029
219,"Amp
AMP","$0,002014485174",0.1%,-0.5%,-15.4%,-34.7%,$2 050 764,56 127 938 240,"99,4 milliard",$113 057 947
220,"ORDI
ORDI","$5,38",-0.9%,3.5%,-27.9%,-53.9%,$18 903 688,21 000 000,21 million,$112 991 725
221,"Stargate Finance
STG","$0,552339",-0.2%,1.8%,-10.4%,-8.8%,$11 608 324,204 348 516,1 milliard,$112 888 433
222,"JOE
JOE","$0,330089",-0.6%,-1.4%,-21.1%,2.3%,$11 790 364,341 476 003,476 million,$112 694 825
223,"Hive
HIVE","$0,301443",-0.2%,1.9%,-6.8%,-17.7%,$2 339 264,371 261 454,∞,$112 114 756
224,"UMA
UMA","$1,54",0.4%,1.8%,-13.3%,-33.6%,$8 375 931,72 038 230,114 million,$111 079 144
225,"Sushi
SUSHI","$0,573852",-0.1%,0.8%,-23.8%,-35.5%,$16 518 234,192 789 256,249 million,$110 670 400
226,"SwissBorg
CHSB","$0,114831",3.8%,6.5%,-6.7%,-18.6%,$383 479,951 754 603,1 milliard,$109 045 323
227,"Livepeer
LPT","$3,87",-0.2%,2.6%,-15.0%,-16.0%,$5 225 661,28 123 640,"28,1 million",$108 813 351
228,"DigiByte
DGB","$0,006580164375",0.2%,0.8%,-10.7%,-13.4%,$1 855 156,16 293 451 405,21 milliard,$107 191 865
229,"Synapse
SYN","$0,562077",-0.2%,1.8%,-23.4%,-7.5%,$5 359 818,190 117 589,185 million,$106 903 136
230,"Utility Web3Shot
UW3S","$0,196014",0.0%,0.5%,1.5%,86.5%,"$62 967,28",525 500 000,10 milliard,$103 005 505
231,"Akash Network
AKT","$0,480642",-0.1%,-1.4%,-23.0%,88.3%,$1 278 884,214 082 422,214 million,$102 893 285
232,"inSure DeFi
SURE","$0,003860966083",-3.0%,-3.7%,-7.1%,-42.5%,$236 737,26 464 285 452,88 milliard,$102 236 077
233,"GalleryCoin
GLR","$0,424948",0.3%,-0.0%,-3.4%,-6.0%,"$43 756,81",240 086 500,2 milliard,$102 024 206
234,"Stride
STRD","$1,19",-0.2%,-3.1%,10.8%,-13.6%,"$50 026,72",85 393 926,"85,4 million",$101 606 448
235,"Lisk
LSK","$0,697987",0.0%,1.7%,-11.9%,-18.0%,$757 280,144 818 773,-,$101 092 827
236,"Core
CORE","$0,791994",0.1%,-2.1%,-21.8%,-10.5%,$8 201 283,126 501 365,"2,1 milliard",$100 186 413
237,"Decentralized Social
DESO","$9,39",1.5%,11.8%,0.8%,-1.1%,$561 623,10 532 254,"10,8 million",$98 872 660
238,"Alchemy Pay
ACH","$0,019983876952",-0.1%,0.7%,-17.3%,-10.4%,$15 374 832,4 943 691 067,10 milliard,$98 805 335
239,"Reserve Rights
RSR","$0,001950405871",-0.5%,2.2%,-18.3%,-31.4%,$4 461 802,50 600 000 000,100 milliard,$98 750 384
240,"SafeMoon
SFM","$0,000176693007",-3.1%,2.4%,-6.7%,3.1%,$1 073 285,558 825 361 064,1 billion,$98 708 657
241,"Kujira
KUJI","$0,839545",0.2%,8.4%,-7.5%,29.8%,$202 126,115 115 001,122 million,$96 748 444
242,"CoinEx
CET","$0,032039992942",0.3%,0.7%,-5.1%,-6.9%,$948 640,3 014 920 322,"5,87 milliard",$96 598 026
243,"Nym
NYM","$0,203296",0.1%,0.3%,-2.5%,14.4%,$427 787,471 083 603,1 milliard,$95 839 623
244,"Stella
ALPHA","$0,119769",0.3%,20.5%,11.6%,17.2%,$26 758 705,798 000 000,1 milliard,$95 538 528
245,"Nervos Network
CKB","$0,002847143240",-0.2%,1.8%,-14.2%,-9.5%,$3 099 195,33 340 636 263,∞,$94 977 989
246,"VVS Finance
VVS","$0,000002663030",-0.2%,-2.2%,-8.1%,-16.5%,$443 020,35 580 661 855 218,"72,8 billion",$94 755 778
247,"Dogelon Mars
ELON","$0,000000171658",-0.9%,-2.2%,-12.2%,-21.0%,$1 078 370,549 649 971 723 242,1 million de milliards,$94 399 092
248,"Cartesi
CTSI","$0,127773",0.0%,0.3%,-20.7%,-22.7%,$7 949 637,737 890 426,1 milliard,$94 350 299
249,"Everscale
EVER","$0,052361760996",0.5%,2.5%,1.2%,32.4%,$4 024 888,1 794 648 409,"2,08 milliard",$94 223 193
250,"e-Radix
EXRD","$0,061748638832",0.5%,0.6%,-6.9%,-16.6%,$138 015,1 518 741 582,"1,52 milliard",$93 782 101
251,"Telcoin
TEL","$0,001338654027",0.2%,-1.9%,-10.0%,-26.7%,$602 087,69 774 904 802,100 milliard,$93 401 118
252,"Bitgert
BRISE","$0,000000235619",-0.0%,10.6%,-7.2%,-36.9%,$1 475 177,395 688 215 721 653,427 billion,$93 220 213
253,"Marinade staked SOL
MSOL","$17,25",0.4%,-0.4%,-22.9%,-26.3%,$1 277 896,5 354 038,"5,35 million",$92 378 350
254,"Polymath
POLY","$0,102099",-0.8%,-2.7%,-18.6%,-49.6%,"$93 399,36",898 550 830,1 milliard,$91 905 387
255,"Coinweb
CWEB","$0,029467805187",-0.2%,8.5%,25.0%,3.0%,$414 096,3 097 872 715,"7,65 milliard",$91 341 721
256,"iExec RLC
RLC","$1,25",-0.5%,0.4%,-8.3%,-15.9%,$3 773 409,72 382 548,87 million,$90 672 961
257,"MiL.k Alliance
MLK","$0,313522",0.1%,1.2%,-1.1%,3.8%,$4 336 899,287 912 202,986 million,$90 316 351
258,"Kyber Network Crystal
KNC","$0,491592",0.1%,2.1%,-14.5%,-17.9%,$4 575 240,182 234 771,224 million,$89 675 679
259,"Access Protocol
ACS","$0,002964233939",-0.1%,-0.5%,-16.5%,-28.3%,$1 725 923,30 110 393 953,100 milliard,$89 247 950
260,"Wilder World
WILD","$0,354206",-0.1%,-0.6%,-20.3%,34.7%,$443 763,251 605 816,500 million,$89 117 431
261,"Ergo
ERG","$1,26",-0.2%,0.3%,-0.8%,-12.4%,$357 428,70 319 061,"97,7 million",$88 992 881
262,"Function X
FX","$0,143118",-0.1%,1.7%,-4.7%,-6.3%,$251 300,618 635 000,619 million,$88 514 946
263,"APENFT
NFT","$0,000000319176",0.1%,1.5%,-10.6%,-10.4%,$6 847 406,277 080 562 500 000,1 million de milliards,$88 452 068
264,"Metars Genesis
MRS","$1,38",0.0%,0.5%,1.5%,-2.7%,$103 592,62 850 000,1 milliard,$86 792 347
265,"Constellation
DAG","$0,030096216644",0.2%,-0.6%,2.9%,-20.2%,$365 097,2 874 485 225,"3,55 milliard",$86 510 505
266,"Agoric
BLD","$0,158289",-0.4%,3.8%,11.5%,-9.4%,$536 365,546 618 015,"1,04 milliard",$86 485 781
267,"Syscoin
SYS","$0,121348",0.5%,0.4%,-0.3%,5.0%,$1 002 023,712 004 949,751 million,$86 405 098
268,"Horizen
ZEN","$6,26",-0.3%,4.0%,-13.4%,-24.0%,$3 059 662,13 789 869,"13,8 million",$86 378 448
269,"Pundi X
PUNDIX","$0,332428",-0.0%,0.6%,-10.1%,-16.8%,$2 221 546,258 433 177,258 million,$86 066 198
270,"Radicle
RAD","$1,71",0.5%,9.6%,4.1%,-27.0%,$17 964 796,49 829 111,100 million,$85 339 452
271,"Linear
LINA","$0,015881324443",-0.5%,14.0%,11.1%,67.4%,$235 891 199,5 344 831 013,10 milliard,$85 107 446
272,"Nano
XNO","$0,638615",-0.1%,-2.2%,-21.5%,-10.0%,$535 265,133 248 290,133 million,$85 084 298
273,"Polymesh
POLYX","$0,106817",-0.0%,-0.5%,-17.0%,-29.1%,$7 048 450,792 398 684,792 million,$84 656 961
274,"Celer Network
CELR","$0,014912347029",0.0%,5.9%,-19.4%,-25.7%,$8 949 109,5 645 454 936,10 milliard,$84 297 079
275,"eUSD
EUSD","$1,03",0.1%,-0.0%,1.2%,-0.3%,$185 544,81 442 484,"81,4 million",$83 736 509
276,"API3
API3","$0,972910",-0.2%,1.6%,-14.8%,-26.3%,$2 912 500,85 876 395,125 million,$83 580 579
277,"RSK Infrastructure Framework
RIF","$0,085852394542",-0.9%,4.5%,-17.7%,-34.1%,$1 915 285,973 360 001,1 milliard,$83 461 919
278,"Metis
METIS","$19,06",0.2%,0.1%,-10.2%,-17.5%,$1 781 902,4 354 321,"5,41 million",$82 953 449
279,"SPACE ID
ID","$0,290161",0.5%,5.4%,-22.7%,-41.8%,$43 000 946,286 000 000,2 milliard,$82 832 905
280,"Status
SNT","$0,020755745185",0.2%,0.7%,-8.4%,-14.4%,$1 182 990,3 960 483 788,"6,8 milliard",$82 206 662
281,"Decimal
DEL","$0,020363706461",-2.2%,-3.2%,-8.8%,-27.7%,"$27 465,00",4 011 333 542,"4,01 milliard",$81 876 965
282,"AVINOC
AVINOC","$0,494181",-5.1%,-3.4%,1.5%,-21.9%,"$84 591,94",167 018 564,1 milliard,$81 575 051
283,"Liquity
LQTY","$0,879620",-0.1%,0.8%,-17.5%,-26.9%,$5 838 245,92 456 160,100 million,$81 358 814
284,"BENQI Liquid Staked AVAX
SAVAX","$12,80",-0.0%,2.3%,-16.3%,-21.2%,$343 922,6 292 727,"6,29 million",$80 577 720
285,"Kinesis Silver
KAG","$24,40",0.0%,-0.0%,3.1%,0.9%,"$50 682,96",3 309 307,∞,$80 450 365
286,"OriginTrail
TRAC","$0,209752",-0.1%,1.4%,-18.0%,-29.2%,$1 013 576,382 798 499,500 million,$80 299 451
287,"Ankr Staked ETH
ANKRETH","$1 953,41",0.0%,-0.5%,-3.5%,-2.5%,"$6 041,03",41 057,"41,1 millier",$80 181 719
288,"Murasaki
MURA","$1,38",15.4%,33.0%,23.0%,-1.2%,"$7 946,43",57 400 000,1 milliard,$79 190 784
289,"PlayDapp
PLA","$0,140787",-0.1%,0.5%,-14.2%,-25.0%,$1 663 697,560 128 667,700 million,$78 897 570
290,"Hermez Network
HEZ","$4,72",-0.2%,-2.1%,-1.9%,-3.0%,$182 809,16 706 072,19 million,$78 869 037
291,"Magic Internet Money
MIM","$1,00",0.2%,0.2%,0.4%,0.3%,$577 344,78 503 414,136 million,$78 714 266
292,"Kinesis Gold
KAU","$63,20",-0.0%,-0.3%,0.0%,-2.1%,$128 011,1 242 403,∞,$78 542 607
293,"OMG Network
OMG","$0,554409",-0.5%,-2.1%,-19.8%,-30.5%,$10 634 038,140 245 398,140 million,$77 892 646
294,"Nerve Finance
NRV","$0,004041046932",0.1%,-0.1%,-7.7%,-14.0%,"$9 075,15",0,136 million,$77 747 624
295,"dKargo
DKA","$0,025866612786",0.3%,-0.7%,-9.5%,-17.8%,$364 441,2 996 666 667,5 milliard,$77 528 694
296,"NuCypher
NU","$0,059558203320",-0.0%,-1.3%,-23.1%,-25.5%,"$4 195,36",1 300 289 946,"3,89 milliard",$77 442 933
297,"Numeraire
NMR","$12,28",0.2%,0.4%,-8.6%,-8.4%,$1 390 436,6 258 945,"10,9 million",$77 003 480
298,"Artificial Liquid Intelligence
ALI","$0,021340222013",-0.2%,-2.4%,-18.4%,-2.8%,$2 530 715,3 588 163 660,10 milliard,$76 523 740
299,"MaidSafeCoin
EMAID","$0,168643",0.6%,13.2%,18.7%,-14.5%,"$6 983,18",0,"2,3 million",$76 302 113
300,"Medibloc
MED","$0,010906091808",0.1%,0.8%,-11.9%,-24.1%,$852 062,6 832 129 723,"8,87 milliard",$74 511 924
